Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Aperitivo Rosato,Romanetti,"€ 5,99",Kein vorheriger Preis,"€ 8,56 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Marinierte Oliven,Sol & Mar,"€ 1,49",Kein vorheriger Preis,"€ 9,31 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Frottier-Set,Livarno Home,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Bindesortiment,Parkside,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Sister Stylingkopf,Zapf Creation,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Gewürzspekulatius Vegan,Favorina,"€ 1,69",Kein vorheriger Preis,"€ 2,82 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kinder Thermo-Funktionsshirt,Crivit,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Laufband TM 500S,Christopeit Sport,"€ 379,00",Kein vorheriger Preis,"€ 379,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Kitchen Tools Doppelzonen-Heißluftfritteuse SHLFD 2600 B1,SilverCrest,"€ 74,99",Kein vorheriger Preis,"€ 74,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Schoko Lebkuchen,Favorina,"€ 3,99",Kein vorheriger Preis,"€ 7,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Bio Cremiger Joghurt mild,Milbona,"€ 1,79",Kein vorheriger Preis,"€ 2,98 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Vegane Paella,Vemondo,"€ 2,49",Kein vorheriger Preis,"€ 5,53 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Chardonnay,Bonot Pére & Fils,"€ 6,99",Kein vorheriger Preis,"€ 9,32 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Caffé Latte Cappuccino,Emmi,"€ 3,49",Kein vorheriger Preis,"€ 5,37 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Standmixer,SilverCrest,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Bio-Süßrahm-Butter,Milbona,"€ 2,99",Kein vorheriger Preis,"€ 11,96 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Tafelschokolade,Fin Carre,"€ 0,79",Kein vorheriger Preis,"€ 7,90 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Herren Pyjama,Esmara,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Bio-Mandel-Drink,Vemondo,"€ 1,35",Kein vorheriger Preis,"€ 1,35 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Pom-Bär,Funny Frisch,"€ 0,88",Kein vorheriger Preis,"€ 11,73 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
LED-Solarleuchten,Livarno Home,"€ 9,99",Kein vorheriger Preis,"€ 3,33 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Scheiben,Géramont,"€ 4,66",Kein vorheriger Preis,"€ 13,31 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Steckschlüsselsatz,Parkside,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Kokos-Fußmatte,Livarno Home,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Multifunktionswerkzeug PMFW 250 A1,Parkside,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Spaltaxt,Fiskars,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Eisenbahnset,Playtive,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Mezquiriz Tempranillo Tinto Roble,Navarra,"€ 27,99",Kein vorheriger Preis,"€ 6,22 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Kitchen Tools Mikrowelle,SilverCrest,"€ 119,00",Kein vorheriger Preis,"€ 119,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Mandelgebäck,Quijotes de España,"€ 2,99",Kein vorheriger Preis,"€ 11,07 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Winter Funktionsstrümpfe,Crivit,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Winkelschleifer PWS 115 C3,Parkside,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Milch-Schnitte,Ferrero,"€ 2,99",Kein vorheriger Preis,"€ 11,50 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Züge,Playtive,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Gartengerätehaus XL,Parkside,"€ 199,00",Kein vorheriger Preis,"€ 199,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Airfryer Snack,Original Wagner,"€ 3,49",Kein vorheriger Preis,"€ 8,95 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Kessel Chips,Funny Frisch,"€ 1,29",Kein vorheriger Preis,"€ 10,75 / kg -",17.10. - 18.10.,2025-10-17,2025-10-18
Kinder Schokolade Hohlfigur,Ferrero,"€ 1,29",Kein vorheriger Preis,"€ 36,86 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Lugana,Cà Dei Frati,"€ 14,90",Kein vorheriger Preis,"€ 19,87 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
XXL Käsescheiben,Milram,"€ 2,99",Kein vorheriger Preis,"€ 11,50 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Kinder Bueno,Ferrero,"€ 4,19",Kein vorheriger Preis,"€ 19,49 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Cashewkerne XXL,Alesto,"€ 2,99",Kein vorheriger Preis,"€ 11,96 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Weißkäse,Patros,"€ 1,99",Kein vorheriger Preis,"€ 11,06 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Sahnepudding,Landliebe,"€ 0,99",Kein vorheriger Preis,"€ 3,00 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Kaffeevollautomat EA8155/EA815B,Krups,"€ 289,00",Kein vorheriger Preis,"€ 289,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Weichspüler,Lenor,"€ 2,99",Kein vorheriger Preis,"€ 2,41 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Deko-Clips,3M,"€ 3,49",Kein vorheriger Preis,"€ 3,49 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Hähnchen-Geschnetzeltes,Metzgerfrisch,"€ 3,79",Kein vorheriger Preis,"€ 9,47 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Müllermilch,Müller,"€ 0,69",Kein vorheriger Preis,"€ 1,38 / l -",17.10. - 18.10.,2025-10-17,2025-10-18
Fruchtgummi,Haribo,"€ 0,89",Kein vorheriger Preis,"€ 5,56 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Kraftstation Ferrum TX3,Hammer,"€ 649,00",Kein vorheriger Preis,"€ 649,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Fischstäbchen,Iglo,"€ 2,99",Kein vorheriger Preis,"€ 6,64 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
LED-Deko-Beleuchtung,Livarno Home,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Ersatzbezüge Easy Wring & Clean,Vileda,"€ 3,59",Kein vorheriger Preis,"€ 3,59 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Kinder Schneehose,Lupilu,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Wischmopp-Set Easy Wring & Clean,Vileda,"€ 27,99",Kein vorheriger Preis,"€ 27,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Mega Mix Fruity & Sour,Sweet Corner,"€ 3,45",Kein vorheriger Preis,"€ 3,45 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Bügeltischbezug Perfekt Fit,Vileda,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Fruchtgummi,Sweet Corner,"€ 1,11",Kein vorheriger Preis,"€ 3,70 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Dippi,Kiri,"€ 2,79",Kein vorheriger Preis,"€ 15,94 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Bio Wetteräpfel,Keine Marke,"€ 2,49",Kein vorheriger Preis,"€ 2,49 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Die Sonnenwinzer Badischer Roter Federweißer,Badischer Winzerkeller,"€ 2,79",Kein vorheriger Preis,"€ 2,79 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Iced Tea,Arizona,"€ 0,89",Kein vorheriger Preis,"€ 0,89 / l -",16.10. - 18.10.,2025-10-16,2025-10-18
Kohlrabi,Keine Marke,"€ 0,55",Kein vorheriger Preis,"€ 0,55 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
LED-Laterne,Livarno Home,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Ensaimadas,Sol & Mar,"€ 1,79",Kein vorheriger Preis,"€ 8,14 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Herbstpfanne Rustikal,Chef Select,"€ 2,49",Kein vorheriger Preis,"€ 4,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kids Pyjama,Esmara,"€ 4,44",Kein vorheriger Preis,"€ 4,44 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Laktosefrei H-­Vollmilch,Milbona,"€ 1,29",Kein vorheriger Preis,"€ 1,29 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Magdalenas,Sol & Mar,"€ 1,79",Kein vorheriger Preis,"€ 4,97 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Men Flanell-Schlafhose,Esmara,"€ 6,29",Kein vorheriger Preis,"€ 6,29 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Magnum,Langnese,"€ 3,49",Kein vorheriger Preis,"€ 5,82 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Laterne,Livarno Home,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Food in a Bottle,Tasty,"€ 2,49",Kein vorheriger Preis,"€ 4,98 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Pop-up-Gartenabfallsack,Parkside,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Damen Kuschelsocken,Esmara,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Dolce Gusto Kaffeekapseln Café au Lait,Nescafé,"€ 6,99",Kein vorheriger Preis,"€ 23,30 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
EdelstahlIsolierbecher,SilverCrest,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Heißluftfritteuse mit Grill Easy Fry und Grill XXL EY8014,Tefal,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Schweinefilet,Tillman‘s,"€ 4,93",Kein vorheriger Preis,"€ 8,50 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
QLED-TV L43QM10P,Chiq,"€ 199,00",Kein vorheriger Preis,"€ 199,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Der Cremige Weichkäsezubereitung,Rotkäppchen Käse,"€ 2,49",Kein vorheriger Preis,"€ 14,23 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Teppich,Livarno Home,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
OLED-Tablet,Vale,"€ 299,00",Kein vorheriger Preis,"€ 299,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Chocolate Thins Caramel,Halloren,"€ 3,99",Kein vorheriger Preis,"€ 26,60 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Halloween Kartoffel Gitter Wednesday,Keine Marke,"€ 1,19",Kein vorheriger Preis,"€ 10,82 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Knusper-Schnitte XXL,Sondey,"€ 1,99",Kein vorheriger Preis,"€ 6,63 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Biscoff Original Karamellgebäck XXL,Lotus,"€ 1,99",Kein vorheriger Preis,"€ 6,91 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Touch & Fresh Minispray Halter,Glade (by Brise),"€ 1,79",Kein vorheriger Preis,"€ 179,00 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Halloween Schaumküsse Wednesday,Keine Marke,"€ 2,29",Kein vorheriger Preis,"€ 10,18 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Rinder-Minutensteaks XXL,Metzgerfrisch,"€ 9,59",Kein vorheriger Preis,"€ 14,98 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Omne Bröd Kanelbullar,Keine Marke,"€ 2,79",Kein vorheriger Preis,"€ 6,64 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Gefüllte Knusperrollen XXL,Chef Select,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Pilze am Stück,Deluxe,"€ 2,49",Kein vorheriger Preis,"€ 8,30 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Zahnpasta,Sensodyne,"€ 4,99",Kein vorheriger Preis,"€ 33,27 / l -",16.10. - 18.10.,2025-10-16,2025-10-18
Linzeraugen XXL,Sondey,"€ 3,29",Kein vorheriger Preis,"€ 6,33 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Filegro,Iglo,"€ 2,99",Kein vorheriger Preis,"€ 12,46 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Nitril Einweghandschuhe,W5,"€ 4,99",Kein vorheriger Preis,"€ 0,05 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Monte Snack,Zott,"€ 1,99",Kein vorheriger Preis,"€ 8,58 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Shampoo,Pantene Pro-V,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Walnuss-Salami,Aoste,"€ 2,49",Kein vorheriger Preis,"€ 16,60 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Rinder­bäckchen,Deluxe,"€ 8,99",Kein vorheriger Preis,"€ 22,47 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kefir Drink,Milram,"€ 0,99",Kein vorheriger Preis,"€ 1,98 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Fernge­steuerter Zug 4-tlg.,Lupilu,"€ 12,99",Kein vorheriger Preis,"€ 3,25 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Pfanne 28cm,SilverCrest,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
I Love Milka Pralinés,Milka,"€ 1,99",Kein vorheriger Preis,"€ 18,09 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Damen Strickkleid,Esmara,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Ähre Weizenmehl,Keine Marke,"€ 1,29",Kein vorheriger Preis,"€ 0,65 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Trinkgenuss,Granini,"€ 1,69",Kein vorheriger Preis,"€ 1,69 / l -",16.10. - 18.10.,2025-10-16,2025-10-18
Gutschein-Adventskalender,Favorina,"€ 14,99",Kein vorheriger Preis,"€ 55,11 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
This is Food Trinkmahlzeit,YFood,"€ 2,99",Kein vorheriger Preis,"€ 5,98 / l -",16.10. - 18.10.,2025-10-16,2025-10-18
Thermo-Strumpfhose,Esmara,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Finest Blended Scotch Whisky,Ballantines,"€ 9,99",Kein vorheriger Preis,"€ 14,27 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Staubsauger Clean 6000 AL61C2ÖKO,AEG,"€ 129,00",Kein vorheriger Preis,"€ 129,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Margarine zum Backen,Sanella,"€ 1,29",Kein vorheriger Preis,"€ 3,23 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Cola,Coca-Cola,"€ 1,19",Kein vorheriger Preis,"€ 0,95 / l -",16.10. - 18.10.,2025-10-16,2025-10-18
Müsli,Kölln,"€ 2,49",Kein vorheriger Preis,"€ 5,53 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Waschmittel,Kuschelweich,"€ 3,49",Kein vorheriger Preis,"€ 0,18 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Frischei Waffeln XXL,Kuchenzauber,"€ 1,79",Kein vorheriger Preis,"€ 5,34 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Zitronen,Keine Marke,"€ 1,59",Kein vorheriger Preis,"€ 2,12 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kalter Hund Mini,Oma Hartmanns,"€ 2,99",Kein vorheriger Preis,"€ 11,96 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
